index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
14	8	77944119	145232496	129492318	129522811	113632684	139982997	116	SNORA40|ENSG00000212273.1,WISP1,HPYR1,OC90,SNORA72|ENSG00000252158.1,SNORA12|ENSG00000212342.1,SNORA25|ENSG00000200075.1,CCDC26,RN7SKP206,LINC00977,RN7SKP226,TMEM75,POU5F1B,CASC8,CCAT1,PCAT2,PCAT1,LINC00861,RN7SL590P,RN7SL329P,LINC00964,RNF139,TMEM65,RN7SKP155,snoU13|ENSG00000238422.1,U3|ENSG00000221461.1,RNY4P5,snoU13|ENSG00000238901.1,HAS2,RNA5SP277,RN7SL396P,RN7SKP153,SNORA32|ENSG00000206776.1,COLEC10,EXT1,SNORA31|ENSG00000252852.1,RN7SL826P,RN7SL228P,AARD,EIF3H,RNA5SP276,LINC00536,ADCY8,ANXA13,KCNQ3,MYC,NDUFB9,NOV,TNFRSF11B,ENPP2,RAD21,ST3GAL1,SLA,SNTB1,SQLE,TAF2,TG,TRPS1,COL14A1,MTSS1,KIAA0196,HHLA1,TRIB1,NDRG1,KHDRBS3,ZHX1,ZHX2,EFR3A,LRRC6,MTBP,MRPL13,ATAD2,ASAP1,FAM135B,PHF20L1,FAM49B,TRMT12,WDYHV1,GSDMC,ZFAT,DEPTOR,DSCC1,DERL1,TATDN1,UTP23,C8orf76,FAM83A,MED30,TBC1D31,MAL2,CSMD3,FBXO32,ZNF572,TMEM71,FAM84B,FAM91A1,SLC30A8,COL22A1,NSMCE2,KLHL38,SAMD12,MIR30B,MIR30D,FER1L6,OC90,MIR1205,MIR1207,PVT1,MIR2053,MIR1208,MIR3686,MIR548AA1,MIR3610,MIR4662B,MIR4663,MIR5194,	0	[RN7SKP226]	[Not Available]	[Not Available]	[Not Available]	1	8q24.21	1.1795e-21
15	9	137107396	137225103	137140972	137143158	137137245	137159660	0	[RXRA]	0	[RXRA]	[Not Available]	[Not Available]	[Not Available]	1	9q34.2	0.01251
16	10	5030368	5046770	5030368	5040637	5009449	5101104	5	U8|ENSG00000251740.1,U8|ENSG00000239148.1,AKR1C1,AKR1C2,AKR1C3,	1	AKR1C2,	[Not Available]	[Not Available]	[Not Available]	1	10p15.1	0.22261
17	11	66622350	71129523	69460023	69474526	69451837	69490346	2	CCND1,ORAOV1,	2	CCND1,ORAOV1,	[Not Available]	[Not Available]	[Not Available]	1	11q13.3	3.4149e-29
18	13	83115984	114987458	110263569	110278991	89392995	114987458	159	MIR548AR,LINC00565,LINC00452,LINC00453,LINC00454,GRK1,DCUN1D2,LINC00403,LINC00404,SNORD44,LINC00354,LINC00346,LINC00567,snoU13|ENSG00000238629.1,RN7SL783P,RN7SKP10,LINC00676,RNA5SP39,MIR1267,SNORD31,LINC00443,LINC00551,ARGLU1,LINC00460,RNA5SP38,SNORA25|ENSG00000252550.1,LINC00344,LINC00343,METTL21EP,RNY5P8,LINC00283,CCDC168,snoU13|ENSG00000238869.1,LINC00555,MIR4705,RNY1P2,MIR2681,FGF14,LINC00411,GGACT,LINC00554,snoU13|ENSG00000238305.1,SNORA25|ENSG00000201245.1,MIR4306,RNY3P6,LINC00449,MIR623,RN7SKP9,RN7SL60P,RN7SKP8,snoU13|ENSG00000238407.1,RAP2A,RNA5SP37,snoU13|ENSG00000238522.1,SNORD112|ENSG00000252154.1,RN7SKP7,LINC00359,RN7SL164P,HS6ST3,snR65|ENSG00000251901.1,RNY4P27,RNY3P8,snoU13|ENSG00000238463.1,LINC00557,LINC00391,RN7SL585P,RNA5SP36,RNA5SP35,SNORD22,MIR548AS,RNU4ATAC3P,LINC00379,LINC00410,RNA5SP34,LINC00559,SNORD38|ENSG00000200733.1,LINC00353,LINC00440,ATP4B,COL4A1,COL4A2,DCT,GPR183,EFNB2,ERCC5,F7,F10,GPC5,GAS6,GPR18,ING1,IPO5,LAMP1,LIG4,PCCA,DNAJC3,SLC10A2,SLC15A1,SOX1,TFDP1,TPP2,ZIC2,STK24,CUL4A,IRS2,PROZ,ARHGEF7,CDC16,CLDN10,ITGBL1,TM9SF2,GPC6,MBNL2,FARP1,ABCC4,TUBGCP3,TNFSF13B,SOX21,RASA3,DZIP1,MYO16,ATP11A,MCF2L,DOCK9,TGDS,OXGR1,BIVM,TMCO3,ANKRD10,RAB20,CARKD,UGGT2,PCID2,UPF3A,KDELC1,CARS2,GRTP1,TMTC4,ABHD13,ZIC5,TEX30,ADPRHL1,TEX29,SPACA7,RNF113B,GPR180,CLYBL,METTL21C,NALCN,DAOA,CHAMP1,UBAC2,TMEM255B,C13orf35,MIR17HG,MIR622,FAM155A,MIR3170,MIR4502,	0	[LINC00676]	[Not Available]	[Not Available]	[Not Available]	1	13q33.3	2.2054e-10
19	13	83115984	114987458	100684414	100684432	98177505	104617662	48	METTL21EP,RNY5P8,LINC00283,CCDC168,snoU13|ENSG00000238869.1,LINC00555,MIR4705,RNY1P2,MIR2681,FGF14,LINC00411,GGACT,LINC00554,snoU13|ENSG00000238305.1,SNORA25|ENSG00000201245.1,MIR4306,RNY3P6,LINC00449,MIR623,RN7SKP9,RN7SL60P,RN7SKP8,snoU13|ENSG00000238407.1,GPR183,ERCC5,GPR18,IPO5,PCCA,SLC10A2,SLC15A1,TPP2,ZIC2,STK24,ITGBL1,TM9SF2,FARP1,DOCK9,BIVM,KDELC1,TMTC4,ZIC5,TEX30,RNF113B,CLYBL,METTL21C,NALCN,UBAC2,MIR3170,	1	PCCA,	[Not Available]	[Not Available]	[Not Available]	1	13q32.3	6.8193e-10
20	15	100153981	101883952	101706714	101783654	100147015	101883952	29	DDX11L9,WASH3P,FAM138E,OR4F13P,RN7SL209P,DNM1P47,snoU13|ENSG00000238502.1,LINS,RNA5SP402,RN7SL484P,DKFZP779J2370,ALDH1A3,MEF2A,PCSK6,SNRPA1,CHSY1,OR4F4,VIMP,LRRK1,TM2D3,TARSL2,ASB7,LYSMD4,ADAMTS17,DNM1P46,CERS3,SPATA41,OR4F6,OR4F15,	1	CHSY1,	[Not Available]	[Not Available]	[Not Available]	1	15q26.3	0.010217
21	17	53253508	80917016	79330162	79332338	79199122	79376011	7	LINC00482,AZI1,SLC38A10,ENTHD2,C17orf89,TMEM105,MIR4740,	0	[TMEM105]	[Not Available]	[Not Available]	[Not Available]	1	17q25.3	1.3152e-14
22	17	19194237	19239110	19194237	19213776	18860535	20252479	25	RN7SL17P,U6|ENSG00000266839.2,CCDC144CP,SNORA31|ENSG00000252349.1,SNORA59B,MIR1180,SNORD3C,SNORD3A,GRAPL,SNORD3D,GRAP,FAM83G,ALDH3A1,ALDH3A2,MFAP4,MAPK7,RNF112,ULK2,AKAP10,EPN2,B9D1,SLC47A1,SPECC1,SLC5A10,SLC47A2,	1	EPN2,	[Not Available]	[Not Available]	[Not Available]	1	17p11.2	0.1412
23	19	15349245	15701202	15450122	15564716	15363722	15595143	7	AKAP8,BRD4,AKAP8L,WIZ,RASAL3,PGLYRP2,MIR1470,	5	AKAP8,AKAP8L,WIZ,RASAL3,MIR1470,	[Not Available]	[Not Available]	[Not Available]	1	19p13.12	0.0089034
24	19	33711640	33876461	33775868	33783870	33723889	33836195	1	CEBPA,	0	[CEBPA]	[Not Available]	[Not Available]	[Not Available]	1	19q13.11	0.012082
25	20	48888835	49116366	49031223	49031872	49019434	49056159	1	RN7SL636P,	0	[RN7SL636P]	[Not Available]	[Not Available]	[Not Available]	1	20q13.13	0.0037169
26	20	60334302	62219648	60404340	60451809	60330398	62219648	76	NPBWR2,MIR647,MIR1914,C20ORF135,SLC2A4RG,MIR4326,MIR3196,HAR1A,HAR1B,LINC00029,GID8,LINC00659,LINC00686,MIR133A2,MIR4758,CDH4,CHRNA4,COL9A3,EEF1A2,KCNQ2,LAMA5,MYT1,NTSR1,OPRL1,PSMA7,PTK6,RPS21,SRMS,TAF4,TCEA2,TPD52L2,TNFRSF6B,OSBPL2,ARFRP1,RGS19,TCFL5,ADRM1,OGFR,DIDO1,HRH3,PRPF6,SS18L1,MTG2,GMEB2,SLCO4A1,STMN3,RTEL1,SOX18,YTHDF1,LIME1,UCKL1,PCMTD2,MRGBP,ARFGAP1,ZNF512B,COL20A1,SLC17A9,C20orf195,PPDPF,BIRC7,DNAJC5,CABLES2,ZGPAT,HELZ2,BHLHE23,NKAIN4,C20orf166,GATA5,ZBTB46,SAMD10,ABHD16B,RBBP8NL,LSM14B,C20orf201,LINC00176,MIR1257,	1	CDH4,	[Not Available]	[Not Available]	[Not Available]	1	20q13.33	0.013414
27	X	151758077	154883512	153347588	153380726	151756670	154883301	102	F8A3,F8A2,FUNDC2,SNORA56,SNORA36A,RN7SL742P,RN7SL697P,LAGE3,SNORA70|ENSG00000207165.1,TEX28P1,OPN1MW,TEX28P2,NAA10,LCA10,SNORD36|ENSG00000251846.1,RN7SL687P,RN7SL667P,snoU13|ENSG00000239037.1,PNMA6B,PNMA6D,PNMA6A,RN7SL190P,CETN2,CSAG2,CSAG4,MAGEA2B,CSAG3,GABRQ,ABCD1,ARHGAP4,ATP2B3,ATP6AP1,AVPR2,BGN,CLIC2,CTAG1B,TEX28,DKC1,DNASE1L1,DUSP9,EMD,F8,FLNA,G6PD,GDI1,HCFC1,IDH3G,IRAK1,L1CAM,MAGEA1,MAGEA2,MAGEA3,MAGEA6,MAGEA12,MECP2,MPP1,MTCP1,PLXNB3,OPN1LW,RENBP,RPL10,SLC6A8,SSR4,TAZ,VBP1,ZNF185,F8A1,UBL4A,TMEM187,SLC10A3,TKTL1,IKBKG,FAM50A,BCAP31,ZNF275,TREX2,SRPK3,PNMA3,CTAG2,NSDHL,TMLHE,PLXNA3,HAUS7,PDZD4,FAM3A,BRCC3,H2AFB3,FAM58A,PNMA5,RAB39B,GAB3,PNCK,ZFP92,CSAG1,CTAG1A,H2AFB2,H2AFB1,OPN1MW2,SMIM9,CMC4,PNMA6C,MIR718,	1	MECP2,	[Not Available]	[Not Available]	[Not Available]	1	Xq28	0.011319
