rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
54	KCNJ12	potassium inwardly-rectifying channel, subfamily J, member 12	477187	7	7	6	1	3	1	2	1	0	0	0.000467	0.202	0.00766	0.938	0.0116	7.11e-05	0.0245
55	JAK1	Janus kinase 1 (a protein tyrosine kinase)	1321231	13	13	11	1	0	2	1	7	3	0	0.000358	0.278	0.00592	0.980	0.0154	7.21e-05	0.0245
56	HIST1H1C	histone cluster 1, H1c	239344	6	6	6	0	1	2	1	2	0	0	4.16e-05	0.111	0.0714	0.983	0.142	7.68e-05	0.0257
57	CELA1	chymotrypsin-like elastase family, member 1	295366	6	6	3	0	0	0	0	2	4	0	8.72e-05	0.667	0.0458	0.913	0.105	0.000115	0.0378
58	CALR	calreticulin	473087	4	4	4	1	0	1	0	1	2	0	0.0167	0.819	0.000226	0.841	0.000590	0.000123	0.0398
59	ADCY2	adenylate cyclase 2 (brain)	1232052	14	14	14	1	1	5	1	3	4	0	3.11e-05	0.125	0.211	0.618	0.344	0.000133	0.0423
60	ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	1039374	9	9	9	0	1	2	2	0	4	0	0.000448	0.0646	0.205	0.00483	0.0256	0.000142	0.0442
61	ALMS1	Alstrom syndrome 1	4655003	26	24	15	6	0	4	3	16	3	0	0.754	0.389	0.000422	0.00161	1.78e-05	0.000164	0.0503
62	PTPRQ	protein tyrosine phosphatase, receptor type, Q	2414701	19	19	18	1	2	5	3	7	2	0	3.75e-05	0.0187	0.283	0.387	0.377	0.000172	0.0513
63	EFNB2	ephrin-B2	375326	7	7	7	0	0	0	4	1	2	0	2.93e-05	0.128	0.941	0.173	0.484	0.000173	0.0513
64	KRT72	keratin 72	544932	5	5	5	0	1	1	0	2	1	0	0.0165	0.379	0.000301	0.884	0.000919	0.000183	0.0536
65	HNF1A	HNF1 homeobox A	691098	12	8	12	1	0	3	1	3	5	0	0.000150	0.179	0.0637	0.304	0.111	0.000199	0.0572
66	FMN2	formin 2	1749061	18	17	18	3	2	3	5	6	2	0	0.000103	0.113	0.106	0.534	0.163	0.000202	0.0572
67	CLCN3	chloride channel 3	977906	5	3	5	1	1	0	0	1	3	0	0.345	0.856	0.000158	0.0250	6.14e-05	0.000249	0.0690
68	P2RY11	purinergic receptor P2Y, G-protein coupled, 11	8094	2	2	2	0	1	0	0	1	0	0	0.000251	0.405	NaN	NaN	NaN	0.000251	0.0690
69	KRTAP5-7	keratin associated protein 5-7	186223	4	4	3	1	0	0	0	1	3	0	0.000374	0.974	0.0212	0.543	0.0585	0.000256	0.0695
70	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2	1014249	10	10	9	2	0	3	1	5	1	0	0.0150	0.446	0.00535	0.00185	0.00151	0.000265	0.0708
71	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	283893	5	5	4	0	1	0	0	1	3	0	0.000710	0.462	0.0166	0.662	0.0350	0.000288	0.0760
72	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	633960	8	8	7	1	2	0	0	4	2	0	0.000678	0.272	0.0146	0.797	0.0379	0.000297	0.0772
73	TUSC3	tumor suppressor candidate 3	393764	8	7	8	0	1	3	0	4	0	0	8.95e-05	0.123	0.229	0.567	0.297	0.000307	0.0787
74	LDOC1L	leucine zipper, down-regulated in cancer 1-like	260871	6	6	6	1	2	1	1	1	1	0	2.90e-05	0.382	0.656	0.607	1.000	0.000332	0.0839
75	MTRF1L	mitochondrial translational release factor 1-like	412753	7	7	7	0	0	2	1	1	3	0	0.000407	0.235	0.0632	0.0986	0.0740	0.000344	0.0858
76	DEFB113	defensin, beta 113	91089	4	4	4	0	0	1	0	1	2	0	0.000157	0.428	0.216	0.186	0.222	0.000392	0.0965
77	EPB41L3	erythrocyte membrane protein band 4.1-like 3	1193731	11	11	11	1	1	1	0	5	4	0	0.00119	0.240	0.374	0.00944	0.0318	0.000423	0.103
78	KRTAP4-5	keratin associated protein 4-5	194608	5	4	5	1	0	1	0	1	3	0	0.000443	0.934	0.0363	0.773	0.0880	0.000435	0.104
79	TMEM51	transmembrane protein 51	263144	4	4	4	0	1	0	1	2	0	0	0.00580	0.212	0.0469	0.00795	0.00677	0.000437	0.104
80	GRIA2	glutamate receptor, ionotropic, AMPA 2	1051835	9	9	8	1	1	1	3	4	0	0	0.000901	0.207	0.0591	0.115	0.0447	0.000447	0.104
81	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	966643	14	10	8	6	0	2	1	10	1	0	0.810	0.867	1.48e-05	1.000	4.98e-05	0.000448	0.104
82	FGA	fibrinogen alpha chain	985771	12	12	12	2	1	1	4	4	2	0	0.000195	0.331	0.124	0.971	0.235	0.000504	0.115
83	GPR63	G protein-coupled receptor 63	469626	7	7	6	1	1	3	0	2	1	0	0.000262	0.465	0.119	0.658	0.180	0.000516	0.116
84	CDH18	cadherin 18, type 2	895134	10	10	10	1	1	1	0	7	1	0	0.000154	0.343	0.950	0.105	0.315	0.000530	0.118
85	FAM21A	family with sequence similarity 21, member A	1533468	3	3	3	0	0	0	0	1	2	0	0.878	0.847	0.0557	4.18e-05	5.70e-05	0.000545	0.120
86	IWS1	IWS1 homolog (S. cerevisiae)	926625	8	8	8	0	0	0	1	4	3	0	0.00156	0.252	0.0474	0.0571	0.0330	0.000559	0.122
87	AXIN2	axin 2 (conductin, axil)	903681	6	6	6	0	0	1	0	0	5	0	0.0243	0.302	0.000619	0.348	0.00216	0.000571	0.123
88	GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1	527011	10	10	10	2	0	2	0	6	2	0	0.000605	0.575	0.195	0.0348	0.0897	0.000588	0.125
89	TBX18	T-box 18	640776	6	6	6	0	0	0	1	3	2	0	0.00764	0.344	0.00245	0.949	0.00724	0.000598	0.126
90	TPTE	transmembrane phosphatase with tensin homology	646265	9	9	9	1	0	2	1	6	0	0	5.78e-05	0.315	0.710	0.966	1.000	0.000622	0.129
91	CCDC53	coiled-coil domain containing 53	196396	5	5	5	0	0	3	0	1	1	0	0.000159	0.159	0.813	0.117	0.383	0.000654	0.133
92	DCAF4L2	DDB1 and CUL4 associated factor 4-like 2	442580	6	5	6	1	0	1	1	1	2	1	0.00182	0.717	0.157	0.0158	0.0337	0.000655	0.133
93	MAOB	monoamine oxidase B	590678	8	8	8	0	0	0	1	3	4	0	0.000219	0.210	0.469	0.141	0.290	0.000678	0.136
94	DAO	D-amino-acid oxidase	395753	7	7	7	0	1	2	0	4	0	0	0.000579	0.187	0.107	0.260	0.112	0.000690	0.137
95	IL12A	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	291644	6	6	6	0	0	1	1	4	0	0	0.000210	0.216	0.156	0.891	0.348	0.000768	0.151
96	PBX1	pre-B-cell leukemia homeobox 1	490392	6	6	6	1	2	0	2	2	0	0	0.000827	0.339	0.106	0.185	0.0963	0.000831	0.162
97	DKK2	dickkopf homolog 2 (Xenopus laevis)	294933	4	4	3	0	0	0	3	0	1	0	0.00501	0.234	0.102	0.00584	0.0163	0.000850	0.164
98	RAI14	retinoic acid induced 14	1130335	7	7	7	0	1	1	1	1	3	0	0.0121	0.190	0.188	0.00387	0.00730	0.000913	0.174
99	CHRNA4	cholinergic receptor, nicotinic, alpha 4	657927	7	7	7	1	0	0	3	3	1	0	0.00327	0.223	0.0159	0.638	0.0276	0.000929	0.176
100	GRXCR1	glutaredoxin, cysteine rich 1	329628	7	6	7	1	1	0	1	5	0	0	0.000261	0.540	0.274	0.476	0.355	0.000955	0.178
101	VPS4B	vacuolar protein sorting 4 homolog B (S. cerevisiae)	503863	5	5	4	0	0	2	0	0	3	0	0.0215	0.227	0.00280	0.796	0.00449	0.000988	0.178
102	DYRK1A	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	891222	7	7	6	0	1	0	0	0	6	0	0.0117	0.348	0.118	0.00515	0.00824	0.000990	0.178
103	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	239735	6	6	6	0	0	3	1	2	0	0	0.000154	0.254	0.501	0.818	0.626	0.000990	0.178
104	OR51G1	olfactory receptor, family 51, subfamily G, member 1	356801	6	6	6	1	0	4	0	2	0	0	0.000520	0.480	0.545	0.0874	0.186	0.000991	0.178
105	PGLYRP4	peptidoglycan recognition protein 4	413752	6	6	6	0	2	0	0	4	0	0	0.000738	0.201	0.0874	0.986	0.133	0.00101	0.179
106	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	596168	5	5	4	1	0	2	0	2	1	0	0.0140	0.626	0.00269	0.927	0.00791	0.00112	0.197
107	KRTAP5-4	keratin associated protein 5-4	253876	5	5	5	1	0	1	0	2	2	0	0.000276	0.822	0.299	0.835	0.405	0.00113	0.197
108	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	469829	3	3	2	0	2	0	1	0	0	0	0.0750	0.338	0.000616	0.880	0.00154	0.00116	0.200
109	TPO	thyroid peroxidase	998294	13	13	13	2	1	2	2	6	2	0	0.000264	0.194	0.401	0.349	0.443	0.00117	0.200
110	MAB21L1	mab-21-like 1 (C. elegans)	395770	7	7	7	1	1	1	1	4	0	0	0.000218	0.392	0.353	0.419	0.549	0.00120	0.200
111	SMPD1	sphingomyelin phosphodiesterase 1, acid lysosomal	684167	4	4	3	4	1	1	0	1	1	0	0.723	0.988	3.08e-05	0.923	0.000166	0.00120	0.200
112	HIST1H1E	histone cluster 1, H1e	240799	4	4	4	0	0	0	0	2	1	1	0.00108	0.508	0.0643	0.581	0.111	0.00121	0.200
113	SPTA1	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)	2764724	31	28	29	4	2	8	4	12	5	0	0.000238	0.0783	0.475	0.586	0.515	0.00122	0.200
114	HNRNPL	heterogeneous nuclear ribonucleoprotein L	572189	8	8	7	0	2	1	0	2	3	0	0.000506	0.136	0.138	0.938	0.248	0.00125	0.200
115	SPINK6	serine peptidase inhibitor, Kazal type 6	96076	4	3	4	0	0	1	1	1	1	0	0.00115	0.382	0.0964	0.279	0.109	0.00125	0.200
116	STK32B	serine/threonine kinase 32B	477877	8	8	8	0	0	1	2	3	2	0	0.000138	0.127	0.849	0.858	0.911	0.00126	0.200
117	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	432765	7	7	6	1	0	3	2	1	1	0	0.000314	0.321	0.332	0.892	0.402	0.00126	0.200
118	OR4K2	olfactory receptor, family 4, subfamily K, member 2	318922	4	4	4	0	0	1	0	3	0	0	0.0136	0.390	0.640	0.00213	0.00930	0.00126	0.200
119	EIF3E	eukaryotic translation initiation factor 3, subunit E	506841	5	5	5	0	0	1	1	2	1	0	0.00512	0.343	0.0243	0.373	0.0259	0.00132	0.206
120	KLHL33	kelch-like 33 (Drosophila)	503640	8	8	7	0	1	2	2	3	0	0	0.000148	0.0671	0.700	0.319	0.901	0.00132	0.206
121	FOXE1	forkhead box E1 (thyroid transcription factor 2)	253405	5	5	2	0	4	0	0	0	1	0	0.00198	0.133	0.0267	0.858	0.0709	0.00139	0.215
122	C6orf47	chromosome 6 open reading frame 47	327356	4	3	4	0	0	2	0	0	2	0	0.0343	0.344	0.134	0.00112	0.00451	0.00151	0.231
123	RXRB	retinoid X receptor, beta	572596	8	8	7	1	0	1	0	1	6	0	0.000838	0.730	0.0984	0.475	0.185	0.00152	0.231
124	GRIA1	glutamate receptor, ionotropic, AMPA 1	1071172	10	10	10	0	2	2	2	1	3	0	0.000354	0.0401	0.322	0.719	0.466	0.00160	0.242
125	TPD52L1	tumor protein D52-like 1	232688	3	3	2	1	2	1	0	0	0	0	0.0128	0.607	0.00896	0.920	0.0130	0.00162	0.242
126	SLC30A1	solute carrier family 30 (zinc transporter), member 1	550111	7	7	7	0	0	0	0	4	3	0	0.00203	0.449	0.188	0.0702	0.0836	0.00164	0.244
127	KCNMB3	potassium large conductance calcium-activated channel, subfamily M beta member 3	392777	3	3	3	1	0	1	2	0	0	0	0.0302	0.592	0.00151	0.919	0.00568	0.00166	0.245
128	RETNLB	resistin like beta	128621	4	4	3	0	0	1	0	1	2	0	0.000290	0.618	0.373	0.489	0.599	0.00168	0.245
129	AP4E1	adaptor-related protein complex 4, epsilon 1 subunit	1278050	6	6	6	1	0	4	0	1	1	0	0.328	0.366	0.000362	0.985	0.000532	0.00169	0.245
130	OPCML	opioid binding protein/cell adhesion molecule-like	419759	5	5	5	1	0	1	0	3	1	0	0.00822	0.714	0.0905	0.0238	0.0215	0.00170	0.245
131	PRR16	proline rich 16	271904	5	5	5	1	1	0	0	3	1	0	0.00124	0.659	0.770	0.0243	0.145	0.00173	0.247
132	NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15	185314	3	3	3	0	1	0	0	1	1	0	0.00917	0.464	0.0167	0.766	0.0218	0.00190	0.269
133	CCNA2	cyclin A2	481562	4	4	2	0	0	0	0	4	0	0	0.0364	0.494	0.00226	0.992	0.00554	0.00192	0.270
134	HIST1H2AG	histone cluster 1, H2ag	146833	4	4	4	0	1	0	0	3	0	0	0.000209	0.324	0.626	0.662	1.000	0.00198	0.277
135	C4orf26	chromosome 4 open reading frame 26	149126	4	4	4	0	1	0	0	2	1	0	0.000342	0.395	0.533	0.335	0.621	0.00201	0.279
136	NCL	nucleolin	811916	6	5	5	1	0	0	0	6	0	0	0.0440	0.718	0.00211	1.000	0.00506	0.00209	0.286
137	OR11A1	olfactory receptor, family 11, subfamily A, member 1	348205	3	3	2	1	3	0	0	0	0	0	0.00928	0.636	0.380	0.0187	0.0240	0.00209	0.286
138	FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	514464	6	6	6	1	1	1	0	1	3	0	0.00111	0.267	0.258	0.107	0.204	0.00213	0.287
139	CISH	cytokine inducible SH2-containing protein	312463	5	5	5	0	0	1	1	1	2	0	0.000353	0.198	0.520	0.876	0.652	0.00216	0.287
140	TNPO1	transportin 1	1033502	10	9	10	0	0	1	1	3	5	0	0.000510	0.156	0.648	0.141	0.452	0.00216	0.287
141	DSPP	dentin sialophosphoprotein	1450747	23	21	17	4	0	3	1	11	8	0	0.000474	0.794	0.287	1.000	0.487	0.00216	0.287
142	CREB3L3	cAMP responsive element binding protein 3-like 3	499779	5	5	3	1	0	1	0	0	4	0	0.00492	0.508	0.0310	0.180	0.0476	0.00219	0.289
143	DCDC1	doublecortin domain containing 1	404240	7	6	7	0	0	2	3	0	2	0	0.000564	0.0911	0.212	0.396	0.418	0.00221	0.289
144	SGTB	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	353785	3	3	2	0	0	0	3	0	0	0	0.0198	0.350	0.0106	0.0654	0.0121	0.00224	0.289
145	SPHK1	sphingosine kinase 1	469360	7	6	6	0	1	2	0	2	2	0	0.00333	0.245	0.259	0.0229	0.0725	0.00225	0.289
146	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	193900	5	5	4	0	0	1	0	1	3	0	0.000243	0.234	0.521	0.250	1.000	0.00226	0.289
147	CCDC43	coiled-coil domain containing 43	246232	3	2	2	0	0	0	0	2	1	0	0.127	0.723	0.154	0.00211	0.00193	0.00227	0.289
148	SF3B1	splicing factor 3b, subunit 1, 155kDa	1501215	12	11	11	0	0	2	1	7	2	0	0.00446	0.0643	0.0660	0.0707	0.0559	0.00231	0.293
149	CADM2	cell adhesion molecule 2	502835	9	6	7	1	0	0	2	3	4	0	0.00291	0.362	0.122	0.107	0.0867	0.00234	0.294
150	FTMT	ferritin mitochondrial	242245	5	5	5	1	0	1	2	2	0	0	0.000533	0.379	0.333	0.974	0.490	0.00241	0.301
151	TRPA1	transient receptor potential cation channel, subfamily A, member 1	1270712	11	11	11	1	0	0	1	7	3	0	0.000697	0.400	0.204	0.487	0.378	0.00244	0.302
152	ZNF512B	zinc finger protein 512B	934601	8	8	6	0	0	3	1	1	3	0	0.00231	0.230	0.203	0.126	0.115	0.00246	0.302
153	DNAJC28	DnaJ (Hsp40) homolog, subfamily C, member 28	435220	5	4	3	0	0	0	0	4	1	0	0.0272	0.490	0.0123	0.0459	0.00995	0.00250	0.305
154	PEG10	paternally expressed 10	776196	5	5	4	1	2	0	2	0	1	0	0.0300	0.998	0.0307	0.0308	0.00910	0.00251	0.305
155	LCE1B	late cornified envelope 1B	134128	3	3	3	0	0	0	1	2	0	0	0.00373	0.436	0.315	0.0213	0.0748	0.00256	0.309
156	CD80	CD80 molecule	329696	4	4	4	0	0	2	1	1	0	0	0.00360	0.256	0.0227	0.387	0.0802	0.00264	0.316
157	RGSL1	regulator of G-protein signaling like 1	1230007	10	10	10	0	0	2	2	3	3	0	0.00406	0.0668	0.238	0.0280	0.0712	0.00265	0.316
158	VAMP1	vesicle-associated membrane protein 1 (synaptobrevin 1)	148322	3	3	2	0	0	0	0	2	1	0	0.00717	0.694	0.161	0.0132	0.0413	0.00270	0.320
159	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	861426	8	8	8	1	1	0	1	3	3	0	0.000575	0.286	0.328	0.886	0.526	0.00275	0.324
160	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	446903	3	3	2	0	0	1	0	0	2	0	0.122	0.482	0.00660	0.00604	0.00259	0.00286	0.335
161	PALMD	palmdelphin	616663	6	6	6	1	0	2	0	1	3	0	0.00567	0.420	0.0224	0.927	0.0563	0.00289	0.336
162	NDN	necdin homolog (mouse)	317608	5	5	5	1	1	3	0	1	0	0	0.00102	0.668	0.315	0.191	0.319	0.00294	0.339
163	TLX3	T-cell leukemia homeobox 3	277150	6	5	6	0	0	2	1	2	1	0	0.000463	0.139	0.511	0.851	0.717	0.00299	0.343
164	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	1782780	6	6	5	1	0	1	0	4	1	0	0.452	0.602	0.000344	0.994	0.000747	0.00304	0.346
165	ZNF676	zinc finger protein 676	632920	8	7	8	1	0	0	0	6	2	0	0.000464	0.704	0.535	0.862	0.733	0.00305	0.346
166	KLRK1	killer cell lectin-like receptor subfamily K, member 1	249802	5	5	5	0	1	1	0	1	2	0	0.000358	0.408	0.876	0.794	0.969	0.00311	0.351
