index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
11	7	158336941	158337968	158305111	158385118	99590893	158385118	523	LINC00689,MIR595,RN7SL142P,SHH,RN7SKP280,HTR5A,RN7SL845P,RN7SL811P,SNORA26|ENSG00000212590.1,snoU13|ENSG00000238557.1,RNA5SP250,FABP5P3,snoU13|ENSG00000239045.1,RN7SL76P,MIR3907,MIR671,IQCA1P1,CDK5,SSPO,SNORD112|ENSG00000252557.1,RN7SL521P,RNY1,RNY3,RNY4,RNY5,RN7SL569P,RN7SL72P,U3|ENSG00000199370.1,RN7SL456P,RNA5SP249,RN7SL207P,RN7SKP174,RNU6ATAC40P,OR2A9P,OR2A20P,CTAGE15,RN7SL481P,RN7SL535P,OR6W1P,TRBV30,TRBC2,PRSS3P2,TRBV28,TRBV27,TRBV19,TRBV9,TRBV2,PRSS3P3,MOXD2P,OR9A1P,OR9A3P,AGK,U6|ENSG00000271932.1,RN7SL771P,RNA5SP248,snoU13|ENSG00000238868.1,RNA5SP247,KLRG2,LUC7L2,SNORA40|ENSG00000252188.1,snoU13|ENSG00000239123.1,SNORA51|ENSG00000201465.1,snoU13|ENSG00000238984.1,snoU13|ENSG00000239145.1,RN7SKP223,SNORD81|ENSG00000202023.1,snoU13|ENSG00000238488.1,LUZP6,C7orf73,U6|ENSG00000272393.1,SNORD46|ENSG00000201009.1,MIR29B1,MIR29A,RNA5SP246,COPG2,MIR335,snoU13|ENSG00000239044.1,snoU13|ENSG00000238336.1,RNA5SP245,RNA5SP244,TSPAN33,snoU13|ENSG00000238733.1,RN7SL306P,KCP,RN7SL81P,CALU,RNA5SP243,RNA5SP242,MIR593,MIR592,GPR37,AASS,RN7SKP277,RNA5SP241,RNA5SP240,U1|ENSG00000271739.1,NAA38,RNA5SP239,CAPZA2,snoZ185,SNORA25|ENSG00000202377.1,MIR3666,RNA5SP238,TSRM,TMEM168,IFRD1,RN7SKP187,RNA5SP237,snoU13|ENSG00000238922.1,FLJ00325,U3|ENSG00000238297.1,snoU109|ENSG00000238832.1,RNA5SP236,SNORD112|ENSG00000251911.1,RN7SL8P,LHFPL3,RN7SKP86,RN7SKP198,FAM185A,POLR2J2,MIR4467,MIR5090,MIR4285,SH2B2,SNORA48|ENSG00000252824.1,RABL5,MIR4653,RN7SKP54,MUC3A,MUC3A,RN7SL549P,RN7SL750P,SAP25,RN7SL416P,RN7SL161P,STAG3L5P,PILRB,GATS,MIR4658,MIR106B,MIR93,MIR25,AOC1,ACHE,AKR1B1,ARF5,OPN1SW,BPGM,BRAF,CALD1,CASP2,CAV1,CAV2,CFTR,CHRM2,AP1S1,CLCN1,CPA1,CPA2,CUX1,DLD,DPP6,SLC26A3,EN2,EPHA1,EPHB4,EPHB6,EPO,EZH2,FLNC,GBX1,GNB2,GPR22,GRM8,MNX1,AGFG2,IMPDH1,INSIG1,IRF5,KCND2,KCNH2,KEL,LAMB1,LEP,LRCH4,MCM7,DNAJB9,MEST,MET,MKLN1,NDUFA5,NDUFB2,NOS3,CNOT4,NRCAM,NRF1,ORC5,SERPINE1,PAX4,PCOLCE,SLC26A4,PIK3CG,PIP,PODXL,POLR2J,PPP1R3A,PRKAR2B,PRSS1,RELN,PSMC2,TAS2R38,PTN,PTPRN2,PTPRZ1,RARRES2,RHEB,SLC4A2,SLC13A1,SMARCD3,SMO,SPAM1,AKR1D1,SRPK2,SSBP1,SYPL1,TAF6,TBXAS1,TFR2,TRIP6,UBE2H,VGF,VIPR2,ZAN,WNT2,XRCC2,ZNF3,ZKSCAN1,ZSCAN21,ZYX,ST7,ARHGEF5,ZNF212,ZNF282,CUL1,TRIM24,MGAM,WASL,PLOD3,DGKI,AP4M1,ATP6V1F,ASIC3,PMPCB,PDIA4,UBE3C,FAM131B,DOCK4,FAM115A,DNAJB6,ABCF2,MUC12,NAMPT,RASA4,LRRC17,POP7,FAM3C,COG5,ZNHIT1,STAG3,FASTK,COPS6,DUS4L,ZNF277,ABCB8,TFEC,LAMB4,PAXIP1,KLHDC10,NUP205,AHCYL2,TNPO3,HYAL4,TSPAN12,CLEC5A,MKRN1,CLDN15,POT1,CNTNAP2,TES,GIMAP2,OR2F1,FBXO24,SLC13A4,HBP1,DNAJC2,TPK1,SND1,DENND2A,ZNF777,TMEM176B,HIPK2,WDR91,REPIN1,HILPDA,MDFIC,PILRA,FSCN3,ATP6V0A4,PNPLA8,TAS2R3,TAS2R4,TAS2R16,FIS1,CPA4,WNT16,ACTL6B,PRKAG2,ZC3HC1,SRRT,MRPS33,NUB1,GPR85,TAS2R5,CHPF2,PUS7,ING3,LRRN3,ALKBH4,NCAPG2,CHCHD3,ZCWPW1,WDR60,RBM28,C7orf43,TMEM140,GIMAP4,GIMAP5,TMEM176A,TRPV6,METTL2B,KMT2E,BCAP29,MEPCE,TRPV5,ANKRD7,ZC3HAV1,SLC12A9,AKR1B10,ACTR3B,KIAA1147,STRIP2,ESYT2,ZNF398,KIAA1549,KMT2C,EXOC4,RINT1,GALNT11,LRRC4,LMBR1,NOM1,MOSPD3,GIGYF1,CCDC136,PARP12,CREB3L2,LRRC61,C7orf49,PVRIG,GCC1,GAL3ST4,PRKRIP1,CBLL1,ZNF767,CPED1,TTC26,ORAI2,JHDM1D,TSC22D4,TRIM56,TMUB1,ARMC10,IMMP2L,CTTNBP2,SLC37A3,KRBA1,FAM71F1,SLC35B4,TMEM209,ADCK2,PLXNA4,ZC3HAV1L,MYL10,CADPS2,CPA5,FOXP2,CEP41,ZBED6CL,TSGA13,AGAP3,C7orf13,OR9A4,OR9A2,C7orf34,TMEM139,NOBOX,OR2A14,OR6B1,OR2F2,ZNF786,COL26A1,PRSS37,KLF14,SSMEM1,SVOPL,MTPN,LRGUK,ASB10,PRSS58,ASZ1,MUC17,RNF32,ASB15,C7orf60,CLEC2L,C7orf55,IQUB,C7orf66,TMEM213,GIMAP8,CRYGN,ZNF425,ZNF746,ATP6V0E2,RBM33,GALNTL5,RNF133,THAP5,CCDC71L,GIMAP7,ZNF467,ZNF800,GIMAP1,C7orf33,PPP1R35,GPC2,LRWD1,FBXL13,NAPEPLD,ATXN7L1,CDHR3,NYAP1,CNPY4,POLR2J2,UBN2,MBLAC1,TAS2R39,TAS2R40,TAS2R41,CNPY1,FAM115C,ZNF775,ATG9B,LSMEM1,TAS2R60,BLACE,CTAGE6,AGBL3,OR6V1,OR2A12,OR2A1,MOGAT3,FAM71F2,STRA8,WDR86,DPY19L2P2,GATS,GSTK1,NAT16,SLC26A5,RNF148,LAMTOR4,FEZF1,FAM180A,OR2A25,OR2A5,PRRT4,RAB19,OR2A7,OR2A42,C7orf61,UFSP1,MIR182,MIR183,MIR96,SPDYE3,SPDYE2,AKR1B15,CTAGE15,OR2A2,LMOD2,ARHGEF35,GIMAP6,WEE2,POLR2J3,MIR490,ZNF862,ACTR3C,TMEM229A,CTAGE4,EFCAB10,UPK3BL,CTAGE8,RASA4B,SMKR1,ZNF783,SPDYE2B,MIR548O,MIR548F4,MTRNR2L6,TMEM178B,MIR4468,MIR5707,	7	LINC00689,MIR595,VIPR2,NCAPG2,WDR60,ESYT2,MIR5707,	[Not Available]	[Not Available]	[Not Available]	0	7q36.3	0.24831
12	8	617667	29827473	2792739	4852925	3548234	4251019	2	RN7SL872P,RNA5SP251,	3	RN7SL872P,RNA5SP251,CSMD1,	[Not Available]	[Not Available]	[Not Available]	0	8p23.2	2.1187e-19
13	8	30684993	34720491	31496393	32622790	31456112	33228199	4	RNA5SP263,RNA5SP262,RNA5SP261,NRG1,	3	RNA5SP263,RNA5SP262,NRG1,	[Not Available]	[Not Available]	[Not Available]	0	8p12	0.00033726
14	9	20476275	26005533	21963430	21996996	21931896	22000770	2	CDKN2A,C9orf53,	2	CDKN2A,C9orf53,	[Not Available]	[Not Available]	[Not Available]	0	9p21.3	3.0821e-22
15	9	112240394	112284879	112272258	112279045	93405828	140938752	577	FAM157B,TUBBP5,MRPL41,snoU13|ENSG00000272272.1,RNF224,TMEM210,MIR3621,snoU13|ENSG00000238824.1,SNORD62,CLIC3,C9orf141,MIR4479,C9orf172,MIR4292,LCN10,LCN6,SNHG7,FAM69B,MIR126,U3|ENSG00000252440.1,MIR4673,DNLZ,DKFZP434A062,MIR4669,RXRA,RNU6ATAC,LINC00094,FAM163B,SNORD36C,SNORD36A,SNORD36B,SNORD24,ABO,snoU13|ENSG00000238657.1,CELP,GTF3C4,SNORA67|ENSG00000212395.1,RN7SL328P,SNORD62B,SNORD62A,PRRC2B,SNORA31|ENSG00000252582.1,snoU13|ENSG00000238298.1,RN7SL665P,HMCN2,ASB6,LINC00963,RN7SL159P,C9orf106,snoU13|ENSG00000239055.1,RN7SL560P,HMGA1P4,URM1,MIR4672,RNA5SP296,SNORA65,SNORD116|ENSG00000252985.1,NRON,RN7SL30P,MIR181A2HG,RN7SL302P,MIR601,GPR21,SNORD90,RN7SL227P,RBM18,RN7SL187P,GGTA1P,RN7SL181P,RN7SKP125,RN7SKP128,SNORA70C,LINC00474,TNFSF8,ATP6V1G1,snoU13|ENSG00000238530.1,MIR455,COL27A1,FKBP15,FAM225A,FAM225B,ZNF883,INIP,C9orf147,RN7SL430P,RNA5SP295,RN7SL57P,MIR4668,UGCG,LRRC37A5P,RNA5SP294,RNY4P18,FRRS1L,MIR32,ACTL7B,RNA5SP293,RN7SL659P,RNA5SP292,RN7SKP77,RN7SKP191,RNA5SP291,LINC00587,TMEM246,SNORA31|ENSG00000253041.1,LPPR1,RN7SKP87,MSANTD3,RN7SL75P,STX17,RN7SKP225,ALG2,RN7SL794P,RNA5SP290,CTSV,AAED1,LINC00092,RNA5SP289,DKFZP434H0512,LINC00476,snoU13|ENSG00000238746.1,RNA5SP288,MIR27B,MIR23B,MIR2278,PCAT7,ZNF169,snoU13|ENSG00000238792.1,MIRLET7DHG,CENPP,SNORA84,snoU13|ENSG00000238996.1,LINC00475,LINC00484,ABCA1,ABCA2,ABL1,AK1,ALAD,ALDOB,AMBP,ASS1,AUH,BAAT,C5,C8G,CACNA1B,CCBL1,ENTPD2,CDK9,CEL,COL5A1,COL15A1,SLC31A1,SLC31A2,CRAT,CYLC2,DBC1,DBH,SARDH,DNM1,ECM2,TOR1A,LPAR1,MEGF9,ENDOG,ENG,STOM,FANCC,FBP1,FKTN,FCN1,FCN2,FOXE1,FPGS,NR5A1,FUT7,NR6A1,GLE1,GNG10,GOLGA1,GOLGA2,RAPGEF1,GRIN1,GSN,HSD17B3,HSPA5,TNC,IARS,LCN1,LCN2,LMX1B,MUSK,NCBP1,NDUFA8,NFIL3,NINJ1,NOTCH1,ROR2,ODF2,OMD,OGN,ORM1,ORM2,PAEP,PAPPA,PDCL,PBX3,PHF2,PPP2R4,PPP3R2,PPP6C,PSMB7,PSMD5,PTCH1,PTGDS,PTGS1,PTPN3,RAD23B,RALGDS,RGS3,RPL7A,RPL12,SET,SNAPC4,SPTAN1,STXBP1,SURF1,SURF2,SURF4,MED22,SURF6,SYK,TAL2,TGFBR1,TLR4,TMOD1,TRAF1,TRAF2,TSC1,TTF1,TXN,VAV2,CORO2A,XPA,ZFP37,ZNF79,ZNF189,NR4A3,BRD3,NUP214,LHX3,GFI1B,IKBKAP,CDC14B,TMEFF1,SSNA1,EDF1,CTNNAL1,FBP2,DPM2,FUBP3,PRPF4,KLF4,GTF3C5,LHX2,MED27,PTGES,GABBR2,RALGPS1,ADAMTSL2,TRIM14,PPP1R26,SEC16A,TNFSF15,PTBP3,SH2D3C,RABEPK,LAMC3,TUBB4B,UBAC1,OLFM1,ZER1,ANP32B,AGPAT2,SPTLC1,POMT1,SMC2,ZBTB6,NEK6,SDCCAG3,NOXA1,USP20,ACTL7A,SEC61B,SLC27A4,SLC35D2,CNTRL,WDR5,C9orf9,ADAMTS13,CACFD1,SLC2A6,AKAP2,RPL35,MAN1B1,DOLK,ZNF510,HABP4,PTGR1,TRIM32,FNBP1,SETX,ERP44,ZBTB43,FAM120A,PMPCA,ASTN2,BICD2,KIAA0368,EXOSC2,NCS1,TDRD7,SLC44A1,ANGPTL2,NUP188,RABGAP1,TMEM245,CIZ1,DFNB31,NELFB,NIPSNAP3A,NSMF,GPSM1,GAPVD1,PHF19,FBXW2,OR1J4,OR2K2,GBGT1,LHX6,OR1L3,OR1L1,OR1J2,TRUB2,ST6GALNAC4,INVS,NDOR1,TOR1B,TOR2A,NTMT1,PHPT1,ANAPC2,PKN3,DPP7,SLC2A8,OBP2B,OBP2A,ST6GALNAC6,DEC1,MRPS2,COQ4,CERCAM,EGFL7,PRRX2,C9orf114,C9orf156,RAB14,C9orf78,POLE3,NANS,FBXW5,MRPL50,RC3H2,EPB41L4B,TBC1D13,NUTM2F,ASPN,BSPRY,TOR4A,TEX10,EXD3,FAM206A,NOL8,TMEM38B,NIPSNAP3B,STRBP,TBC1D2,HEMGN,RABL6,CDK5RAP2,BARX1,RNF20,LRRC8A,INPP5E,NPDC1,BARHL1,SH3GLB2,REXO4,DOLPP1,KCNT1,ZBTB26,DENND1A,GPR107,SLC46A2,ZNF462,PRDM12,SUSD1,IPPK,DDX31,FAM129B,WNK2,C9orf16,MAPKAP1,GALNT12,EHMT1,SVEP1,PTGES2,AKNA,ARPC5L,HDHD3,AIF1L,UCK1,ZNF484,FSD1L,GARNL3,HSDL2,C9orf89,HIATL2,NTNG2,HIATL1,PPAPDC3,ZDHHC12,FAM73B,C9orf3,FIBCD1,KIAA1984,TMEM141,C9orf37,FGD3,MVB12B,WDR34,SAPCD2,C9orf69,LRSAM1,UAP1L1,MRRF,ARRDC1,DPH7,TMEM203,KIF12,PALM2,SLC25A25,WDR31,ZNF618,ZMYND19,GRIN3A,RNF183,NACC2,C9orf116,LCN8,PTRH1,PIP5KL1,PTPDC1,ANKRD19P,OR13C5,OR13C8,OR13C3,OR13C4,OR13F1,OR1L8,OR1N2,OR1N1,SLC34A3,DAB2IP,CAMSAP1,C9orf62,C9orf163,MAMDC4,LCN6,AK8,OR1Q1,TTLL11,TTC16,FAM120AOS,ZNF483,C9orf84,KIAA1958,TSTD2,ZNF782,C9orf96,OLFML2A,QSOX2,ZNF367,C9orf91,NAIF1,ANKS6,SUSD3,CDC26,PHYHD1,MORN5,OR1L4,TXNDC8,C9orf43,CRB2,SCAI,C9orf117,LCN12,C9orf142,TPRN,FAM78A,OR13C9,OR13D1,GPR144,QRFP,OR1J1,OR1B1,MURC,GLT6D1,ERCC6L2,SWI5,C9orf50,PNPLA7,C9orf169,ENTPD8,IER5L,C9orf171,LCN15,LRRC26,TMEM8C,OR13C2,OR1L6,OR5C1,OR1K1,LCN9,FAM102A,C9orf152,SNX30,WDR38,LCNL1,C9orf139,FAM166A,SOHLH1,ZBTB34,MIRLET7A1,MIRLET7D,MIRLET7F1,MIR147A,MIR181A2,MIR181B2,MIR199B,NUTM2G,C9orf173,NRARP,C9orf129,DNAJC25,MIR600HG,MIR602,RNF208,CARD9,MIR3074,MIR3154,MIR4291,CCDC180,MIR3689A,MIR3911,MIR3927,MIR3689B,MIR3689D1,MIR3689F,MIR3960,MIR4674,MIR4478,MIR3689C,MIR3689D2,MIR4670,MIR3689E,MIR548AW,	1	MIR3927,	[Not Available]	[Not Available]	[Not Available]	0	9q31.3	0.12467
16	10	88721035	96865296	89621061	89735597	89617401	89749455	3	SNORD74|ENSG00000200891.1,PTEN,KLLN,	2	PTEN,KLLN,	[Not Available]	[Not Available]	[Not Available]	0	10q23.31	2.1093e-09
17	10	100182285	135225087	123499414	123689366	105618399	135225087	198	MIR3944,TUBGCP2,C10orf91,BNIP3,PPP2R2D,LINC00959,MIR4297,MGMT,NPS,SNORD60|ENSG00000199321.1,RNA5SP328,MIR4296,METTL10,GPR26,MIR3941,RN7SKP167,RN7SL846P,TIAL1,MIR4681,RN7SL749P,FAM45A,SNORA19|ENSG00000222588.1,SNORA19|ENSG00000207468.1,U3|ENSG00000251836.1,LINC00867,EMX2OS,PDZD8,ENO4,snoU13|ENSG00000238577.1,RN7SL384P,VWA2,NHLRC2,SNORA17|ENSG00000212589.1,MIR4295,GUCY2GP,MIR548E,RNA5SP327,RN7SKP288,RN7SL686P,snoU13|ENSG00000239125.1,SMNDC1,RN7SL450P,U4|ENSG00000272160.1,RN7SKP278,RNA5SP326,RNA5SP325,snoU13|ENSG00000238620.1,ITPRIP,MIR609,MIR936,RN7SL524P,OBFC1,ACADSB,ADAM8,ADD3,ADRA2A,ADRB1,CASP7,COL17A1,CTBP2,CYP2E1,DMBT1,DOCK1,DUSP5,ECHS1,EMX2,FGFR2,GFRA1,PRLHR,GRK5,HABP2,HMX2,INPP5A,ABLIM1,MKI67,MXI1,NRAP,OAT,PNLIP,PNLIPRP1,PNLIPRP2,HTRA1,PTPRE,RGS10,SLC18A2,TCF7L2,TECTB,UROS,XPNPEP1,SHOC2,ADAM12,UTF1,EIF3A,SMC3,BUB3,GSTO1,BAG3,FAM53B,SLK,DCLRE1A,GLRX3,DPYSL4,TACC2,PRDX3,VAX1,ATE1,SEC23IP,RAB11FIP2,INPP5F,SORCS3,FAM175B,ATRNL1,C10orf137,PDCD4,VENTX,CUZD1,CALY,CHST15,ACSL5,ZRANB1,TTC40,NSMCE4A,C10orf118,WDR11,DHX32,TDRD1,BCCIP,GPAM,KIAA1598,FAM160B1,PLEKHA1,FAM204A,LHPP,IKZF5,ZDHHC6,MCMBP,PLEKHS1,C10orf88,WDR96,LRRC27,GPR123,AFAP1L2,KNDC1,MTG1,BBIP1,FANK1,SYCE1,SORCS1,PRAP1,ZNF511,C10orf90,BTBD16,FAM24A,PSTK,MMP21,GSTO2,SFR1,CLRN3,PNLIPRP3,SFXN4,CPXM2,TRUB1,VTI1A,C10orf82,CACUL1,CCDC147,PWWP2B,PPAPDC1A,PAOX,FAM24B,EBF3,CASC2,TCERG1L,HSPA12A,FUOM,JAKMIP3,STK32C,RBM20,KCNK18,NANOS1,HMX3,CCDC172,ARMS2,TEX36,C10orf120,FOXI2,C10orf85,FRG2B,SPRN,MIR202,FAM196A,MIR2110,MIR378C,MIR3663,MIR4680,MIR4682,MIR4484,LINC00601,	1	ATE1,	[Not Available]	[Not Available]	[Not Available]	0	10q26.13	5.7505e-06
18	11	104842218	134132624	119177804	119197256	102826467	134132624	305	snoU13|ENSG00000238693.1,RNU6ATAC12P,RN7SL167P,LINC00167,KCNJ5,RN7SKP279,RN7SKP121,MIR3167,snoU13|ENSG00000238855.1,RN7SL351P,KRT18P59,SLC37A2,RNA5SP352,TBRG1,OR10D3,U8|ENSG00000200496.1,SNORD14C,SNORD14D,SNORD14E,snoU13|ENSG00000239079.1,RNU4ATAC5P,RNU4ATAC10P,SC5D,TBCEL,OAF,THY1,MFRP,ACA64|ENSG00000252119.1,HINFP,C2CD2L,MIR3656,RPS25,RN7SL529P,RN7SL688P,BCL9L,CXCR5,DDX6,TTC36,RN7SL86P,CD3G,MPZL3,TMPRSS4,SCARNA11|ENSG00000252992.1,PCSK7,RNY4P6,ZNF259,snoU13|ENSG00000238625.1,LINC00900,snoU13|ENSG00000239153.1,ACA59|ENSG00000252870.1,snoU13|ENSG00000238724.1,ATF4P4,snosnR66,C11orf34,SDHD,RNA5SP351,HSPB2,ALG9,ALG9,RN7SKP273,SIK2,RNA5SP350,SNORD39|ENSG00000264997.1,RNA5SP349,RNA5SP348,ACAT1,ACRV1,APLP2,APOA1,APOA4,APOC3,ARCN1,ATM,FXYD2,CASP1,CASP4,CASP5,CBL,CD3D,CD3E,CHEK1,CRYAB,DDX10,DLAT,DPAGT1,DRD2,ETS1,FDX1,FLI1,SLC37A4,GRIA4,GRIK4,GUCY1A2,H2AFX,HMBS,HSPA8,HTR3A,IL10RA,IL18,STT3A,KCNJ1,VWA5A,MCAM,KMT2A,NCAM1,NFRKB,NNMT,NPAT,NRGN,OPCML,PAFAH1B2,POU2AF1,PPP2R1B,PTS,PVRL1,RDX,SCN2B,SCN4B,SDHD,ST3GAL4,SLN,SORL1,SRPR,ST14,TAGLN,TECTA,UPK2,ZBTB16,ZNF202,CUL5,BARX2,USP2,HTR3B,ZW10,UBE4A,EI24,FEZ1,ARHGAP32,RBM7,MPZL2,HYOU1,ATP5L,ADAMTS8,TREH,CEP164,IGSF9B,EXPH5,PHLDB1,NCAPD3,ARHGEF12,SIK3,VSIG2,BACE1,TRIM29,CADM1,POU2F3,REXO2,OR8B8,TIMM8B,OR8B2,ACAD8,B3GAT1,DCPS,ZBTB44,THYN1,DDX25,NTM,CDON,SIDT2,TRAPPC4,SPA17,FXYD6,SIAE,C11orf71,ROBO4,SLC35F2,RAB39A,BTG4,NXPE4,TTC12,C11orf57,ELMOD1,FOXRED1,SCN3B,VPS11,TEX12,CRTAM,IFT46,PRDM10,DSCAML1,GRAMD1B,ARHGAP20,USP28,CARD18,AASDHPPT,PKNOX2,TP53AIP1,ABCG4,ROBO3,C11orf1,RNF26,FAM118B,DYNC2H1,NLRX1,MSANTD2,CLMP,PDZD3,C11orf63,CCDC15,PDGFD,TMPRSS5,PUS3,MFRP,JAM3,BCO2,TMPRSS13,DCUN1D5,MSANTD4,KIRREL3,BUD13,TMEM25,RPUSD4,UBASH3B,DIXDC1,ZC3H12C,GLB1L2,ESAM,ALKBH8,FDXACB1,C11orf52,VPS26B,GLB1L3,TIRAP,CARD16,C1QTNF5,PANX3,APOA5,TMEM45B,C11orf93,PIH1D2,NXPE1,NXPE2,AMICA1,KBTBD3,CWF19L2,KDELC2,LAYN,PATE1,C11orf65,ADAMTS15,C11orf45,HYLS1,TMEM218,OR8B12,OR10G8,OR10G9,OR10S1,OR6T1,OR4D5,TMEM136,SPATA19,HEPACAM,ANKK1,RNF214,FOXR1,CCDC153,OR8D1,OR8D2,OR8B4,C11orf44,CCDC84,TMEM225,OR8D4,C11orf53,BSX,OR6X1,OR6M1,OR10G4,OR10G7,OR8B3,OR8A1,C11orf87,C11orf92,C11orf88,PATE2,PATE4,SNX19,MIRLET7A2,MIR100,MIR125B1,MIR34B,MIR34C,DDI1,BLID,CARD17,HEPN1,CLDN25,PATE3,MIR4301,CASP12,MIR4697,MIR4493,MIR4491,MIR4492,MIR4693,	2	ACA64|ENSG00000252119.1,MCAM,	[Not Available]	[Not Available]	[Not Available]	0	11q23.3	0.00030497
19	11	84068534	84068600	83165912	85348445	82998496	85348445	2	DLG2,TMEM126B,	2	DLG2,TMEM126B,	[Not Available]	[Not Available]	[Not Available]	0	11q14.1	0.0030474
20	12	120719882	133155338	132093024	132175106	122441910	133155338	109	ANHX,ZNF891,ZNF140,RNU4ATAC12P,RNA5SP379,LRCOL1,MUC8,SNORA49,RNA5SP378,RNA5SP377,RNA5SP376,RAN,snoU13|ENSG00000238822.1,RN7SL534P,snoU13|ENSG00000238895.1,MIR3612,TMEM132C,LINC00508,LINC00507,LINC00944,LINC00943,LINC00939,TMEM132B,BRI3BP,RPL22P19,DNAH10OS,EIF2B1,SNORA9|ENSG00000206897.1,SNRNP35,RNA5SP375,RN7SL133P,MIR4304,HCAR1,SNORA9|ENSG00000252192.1,ZCCHC8,MLXIP,BCL7A,SCARB1,STX2,GOLGA3,GTF2H3,MMP17,POLE,PXMP2,CLIP1,SFSWAP,UBC,ZNF10,ZNF26,ZNF84,CDK2AP1,ULK1,DENR,HCAR3,HIP1R,PIWIL1,NCOR2,KNTC1,MPHOSPH9,ZNF268,TMED2,FZD10,P2RX2,ANKLE2,ABCB9,RIMBP2,ATP6V0A2,GALNT9,ARL6IP4,SBNO1,CHFR,DIABLO,PITPNM2,EP400,DHX37,FBRSL1,DDX55,VPS33A,RSRC2,AACS,NOC4L,B3GNT4,OGFOD2,VPS37B,TCTN2,CCDC92,PUS1,CCDC62,C12orf65,TMEM132D,SLC15A4,FAM101A,ZNF664,GLT1D1,PGAM5,RILPL2,DNAH10,LRRC43,GPR133,DDX51,HCAR2,EP400NL,RILPL1,IL31,SETD8,ZNF605,MIR3908,MIR4419B,MIR5188,	1	RNA5SP377,	[Not Available]	[Not Available]	[Not Available]	0	12q24.33	2.3723e-05
21	12	23841300	24479206	23678552	24107433	22844471	24363948	2	SOX5,MIR920,	1	SOX5,	[Not Available]	[Not Available]	[Not Available]	0	12p12.1	0.0008113
22	13	19450806	91631003	48876592	49059721	48875752	49062990	2	RB1,LPAR6,	2	RB1,LPAR6,	[Not Available]	[Not Available]	[Not Available]	0	13q14.2	2.2515e-37
23	14	59181924	105986740	105935041	105986740	95113932	105986740	209	RNA5SP389,LINC00221,LINC00226,ADAM6,KIAA0125,IGHJ1,IGHJ2,IGHJ3,IGHJ4,IGHJ5,IGHJ6,IGHM,IGHD,IGHG3,IGHG1,IGHA1,IGHG2,IGHG4,IGHE,IGHA2,CRIP1,C14orf79,LINC00638,ZBTB42,C14orf144,RN7SL634P,LINC00637,SNORD51|ENSG00000202275.1,APOPT1,SNORA28,LINC00605,LINC00677,snoU13|ENSG00000238853.1,RN7SL546P,snoU13|ENSG00000239061.1,RN7SL472P,LINC00524,U3|ENSG00000206761.1,MEG9,MIR369,MIR377,MIR485,MIR134,MIR382,MIR381HG,MIR376A1,MIR376C,MIR380,MIR299,MIR379,SNORD113|ENSG00000222185.1,SNORD112|ENSG00000252009.1,SNORD113|ENSG00000222095.1,SNORD113|ENSG00000201710.1,SNORD113|ENSG00000201036.1,SNORD113|ENSG00000201500.1,SNORD113|ENSG00000200150.1,SNORD112|ENSG00000251918.1,SNORD112|ENSG00000252144.1,SNORD112|ENSG00000251949.1,SNORD112|ENSG00000252873.1,SNORD112|ENSG00000251769.1,MEG8,MIR433,MEG3,RN7SKP92,RN7SL523P,YY1,DEGS2,MIR342,CCNK,U6|ENSG00000272439.1,RN7SL714P,RN7SL710P,LINC00618,RN7SKP108,snoU13|ENSG00000238776.1,DKFZP434O1614,C14orf132,LINC00617,GLRX5,SCARNA13,SNHG10,AKT1,BDKRB1,BDKRB2,CKB,CRIP1,CRIP2,DIO3,DYNC1H1,EIF5,EML1,BRF1,HSP90AA1,JAG2,KLC1,MARK3,PPP2R5C,MOK,TNFAIP2,TRAF3,VRK1,WARS,XRCC3,TCL1A,DLK1,MTA1,BAG5,C14orf2,CDC42BPB,TCL1B,TECPR2,SIVA1,CYP46A1,PAPOLA,RCOR1,PACS2,PPP1R13B,DICER1,KIF26A,TCL6,GPR132,EVL,GSKIP,CINP,CDCA4,ATG2B,ZNF839,BEGAIN,INF2,BCL11B,ZFYVE21,WDR25,LINC00341,CLMN,TMEM121,AMN,SETD3,HHIPL1,BTBD6,EXOC3L4,WDR20,AHNAK2,TRMT61A,TDRD9,ANKRD9,AK7,PLD4,ADSSL1,SLC25A29,GSC,SYNE3,NUDT14,C14orf177,SLC25A47,LINC00523,CEP170B,C14orf80,CCDC85C,ASPG,C14orf64,RTL1,TMEM179,C14orf180,MIR127,MIR136,MIR154,MIR203,MIR323A,MIR337,MIR345,MIR370,MIR381,MIR431,MIR323B,MIR409,MIR412,MIR410,MIR493,MIR432,MIR494,MIR495,MIR496,MIR487A,RD3L,TEX22,MIR539,MIR544A,MIR487B,MIR411,MIR654,MIR655,MIR656,MIR758,MIR770,MIR300,MIR541,MIR665,MIR543,MIR889,DIO3OS,MIR1197,MIR1193,MIR4309,MIR3173,MIR151B,MIR4710,MIR2392,	25	RNA5SP389,LINC00221,LINC00226,ADAM6,KIAA0125,IGHJ1,IGHJ2,IGHJ3,IGHJ4,IGHJ5,IGHJ6,IGHM,IGHD,IGHG3,IGHG1,IGHA1,IGHG2,IGHG4,IGHE,IGHA2,CRIP1,CRIP1,CRIP2,TMEM121,C14orf80,	[Not Available]	[Not Available]	[Not Available]	0	14q32.33	8.4799e-08
